label,text
joy,I am extremely happy and excited about this wonderful news
joy,This is the best day ever I feel amazing
joy,Feeling joyful and content with life
joy,Happiness is overflowing in my heart
joy,Everything is perfect and wonderful
sadness,Feeling very sad and lonely today everything seems hopeless
sadness,I feel so depressed and miserable right now
sadness,Tears are flowing Im so heartbroken
sadness,Deep sadness is consuming me
sadness,I feel empty and sad inside
anger,This makes me so angry I could scream at someone
anger,This injustice makes me furious and resentful
anger,This makes my blood boil Im so mad
anger,Rage is building up inside me
anger,This is so frustrating and irritating
love,I love you so much you mean everything to me
love,You are the love of my life I adore you
love,My heart is full of love and affection
love,I cherish every moment with you
love,My love for you grows stronger
fear,I am terrified and scared of what might happen next
fear,Im so anxious and fearful about the future
fear,Im scared and panicked about this situation
fear,Fear is overwhelming me completely
fear,Im filled with dread and fear
surprise,Wow that was completely unexpected and surprising
surprise,That was an incredible surprise thank you
surprise,What an amazing surprise I cant believe it
surprise,That was shockingly unexpected
surprise,This surprise made my day perfect
